Geolocation,Level of Education,Sex,Year,Completion_Rate,Cohort_Survival_Rate,Gender_Parity_Index,Participation_Rate
CAR,Junior High,Male,2011,70.6,74.0,1.1,80.9
CAR,Senior High,Female,2011,0.0,0.0,0.0,79.8
CAR,Senior High,Male,2011,0.0,0.0,0.0,80.9
Region I,Elementary,Female,2011,85.8,88.7,0.9,81.1
Region I,Elementary,Male,2011,79.4,82.4,0.9,79.4
Region I,Junior High,Female,2011,80.9,86.1,1.0,81.1
Region I,Junior High,Male,2011,69.5,75.7,1.0,79.4
Region I,Senior High,Female,2011,0.0,0.0,0.0,81.1
Region I,Senior High,Male,2011,0.0,0.0,0.0,79.4
Region II,Elementary,Female,2011,77.3,84.2,0.9,77.4
Region II,Elementary,Male,2011,69.4,75.6,0.9,76.4
Region II,Junior High,Female,2011,83.0,87.4,1.0,77.4
Region II,Junior High,Male,2011,72.8,77.8,1.0,76.4
Region II,Senior High,Female,2011,0.0,0.0,0.0,77.4
Region II,Senior High,Male,2011,0.0,0.0,0.0,76.4
Region III,Elementary,Female,2011,84.3,86.0,0.9,71.9
Region III,Elementary,Male,2011,76.8,79.2,0.9,69.3
Region III,Junior High,Female,2011,80.9,84.5,1.0,71.9
Region III,Junior High,Male,2011,69.8,74.0,1.0,69.3
Region III,Senior High,Female,2011,0.0,0.0,0.0,71.9
Region III,Senior High,Male,2011,0.0,0.0,0.0,69.3
Region IV-A,Elementary,Female,2011,89.1,91.4,0.9,65.2
Region IV-A,Elementary,Male,2011,81.6,84.7,0.9,62.5
Region IV-A,Junior High,Female,2011,89.2,92.5,1.0,65.2
Region IV-A,Junior High,Male,2011,79.0,82.9,1.0,62.5
Region IV-A,Senior High,Female,2011,0.0,0.0,0.0,65.2
Region IV-A,Senior High,Male,2011,0.0,0.0,0.0,62.5
Region IV-B,Elementary,Female,2011,77.5,79.7,0.9,82.9
Region IV-B,Elementary,Male,2011,67.9,70.7,0.9,83.5
Region IV-B,Junior High,Female,2011,79.9,82.8,1.0,82.9
Region IV-B,Junior High,Male,2011,66.0,69.2,1.0,83.5
Region IV-B,Senior High,Female,2011,0.0,0.0,0.0,82.9
Region IV-B,Senior High,Male,2011,0.0,0.0,0.0,83.5
Region V,Elementary,Female,2011,80.2,81.8,0.9,81.7
Region V,Elementary,Male,2011,70.0,72.7,0.9,81.0
Region V,Junior High,Female,2011,78.6,81.8,1.0,81.7
Region V,Junior High,Male,2011,64.5,68.9,1.0,81.0
Region V,Senior High,Female,2011,0.0,0.0,0.0,81.7
Region V,Senior High,Male,2011,0.0,0.0,0.0,81.0
Region VI,Elementary,Female,2011,80.8,82.8,0.9,78.9
Region VI,Elementary,Male,2011,69.2,72.2,0.9,77.6
Region VI,Junior High,Female,2011,82.0,85.9,1.0,78.9
Region VI,Junior High,Male,2011,69.2,74.7,1.0,77.6
Region VI,Senior High,Female,2011,0.0,0.0,0.0,78.9
Region VI,Senior High,Male,2011,0.0,0.0,0.0,77.6
Region VII,Elementary,Female,2011,86.8,88.6,0.9,89.6
Region VII,Elementary,Male,2011,74.7,77.8,0.9,88.5
Region VII,Junior High,Female,2011,82.5,86.0,1.0,89.6
Region VII,Junior High,Male,2011,67.1,71.7,1.0,88.5
Region VII,Senior High,Female,2011,0.0,0.0,0.0,89.6
Region VII,Senior High,Male,2011,0.0,0.0,0.0,88.5
Region VIII,Elementary,Female,2011,72.2,73.4,0.9,80.8
Region VIII,Elementary,Male,2011,60.9,62.7,0.9,79.7
Region VIII,Junior High,Female,2011,74.2,76.8,1.0,80.8
Region VIII,Junior High,Male,2011,61.5,64.6,1.0,79.7
Region VIII,Senior High,Female,2011,0.0,0.0,0.0,80.8
Region VIII,Senior High,Male,2011,0.0,0.0,0.0,79.7
Region IX,Elementary,Female,2011,66.7,69.3,0.9,82.6
Region IX,Elementary,Male,2011,54.1,56.8,0.9,81.7
Region IX,Junior High,Female,2011,75.6,79.0,1.1,82.6
Region IX,Junior High,Male,2011,64.4,68.3,1.1,81.7
Region IX,Senior High,Female,2011,0.0,0.0,0.0,82.6
Region IX,Senior High,Male,2011,0.0,0.0,0.0,81.7
Region X,Elementary,Female,2011,70.3,71.2,0.9,85.9
Region X,Elementary,Male,2011,58.2,59.8,0.9,85.9
Region X,Junior High,Female,2011,71.4,75.0,1.0,85.9
Region X,Junior High,Male,2011,58.7,62.8,1.0,85.9
Region X,Senior High,Female,2011,0.0,0.0,0.0,85.9
Region X,Senior High,Male,2011,0.0,0.0,0.0,85.9
Region XI,Elementary,Female,2011,68.7,71.1,0.9,68.9
Region XI,Elementary,Male,2011,55.6,58.6,0.9,67.6
Region XI,Junior High,Female,2011,75.0,81.1,1.1,68.9
Region XI,Junior High,Male,2011,62.2,69.2,1.1,67.6
Region XI,Senior High,Female,2011,0.0,0.0,0.0,68.9
Region XI,Senior High,Male,2011,0.0,0.0,0.0,67.6
Region XII,Elementary,Female,2011,69.2,71.6,0.9,80.6
Region XII,Elementary,Male,2011,58.2,60.7,0.9,78.8
Region XII,Junior High,Female,2011,74.3,79.3,1.0,80.6
Region XII,Junior High,Male,2011,64.1,69.6,1.0,78.8
Region XII,Senior High,Female,2011,0.0,0.0,0.0,80.6
Region XII,Senior High,Male,2011,0.0,0.0,0.0,78.8
Region XIII,Elementary,Female,2011,73.2,74.7,0.9,88.4
Region XIII,Elementary,Male,2011,60.0,62.0,0.9,87.5
Region XIII,Junior High,Female,2011,73.8,76.7,1.0,88.4
Region XIII,Junior High,Male,2011,65.3,68.7,1.0,87.5
Region XIII,Senior High,Female,2011,0.0,0.0,0.0,88.4
Region XIII,Senior High,Male,2011,0.0,0.0,0.0,87.5
BARMM,Elementary,Female,2011,24.7,30.1,1.1,75.8
BARMM,Elementary,Male,2011,22.0,27.4,1.1,66.9
BARMM,Junior High,Female,2011,59.9,70.4,1.3,75.8
BARMM,Junior High,Male,2011,51.2,61.7,1.3,66.9
BARMM,Senior High,Female,2011,0.0,0.0,0.0,75.8
BARMM,Senior High,Male,2011,0.0,0.0,0.0,66.9
NCR,Elementary,Female,2012,83.8,85.6,0.9,60.3
NCR,Elementary,Male,2012,76.6,79.3,0.9,57.2
NCR,Junior High,Female,2012,82.1,86.3,1.0,60.3
NCR,Junior High,Male,2012,71.5,76.4,1.0,57.2
NCR,Senior High,Female,2012,0.0,0.0,0.0,60.3
NCR,Senior High,Male,2012,0.0,0.0,0.0,57.2
CAR,Elementary,Female,2012,82.7,83.7,0.9,81.5
CAR,Elementary,Male,2012,74.3,76.1,0.9,82.5
CAR,Junior High,Female,2012,85.5,88.3,1.1,81.5
CAR,Junior High,Male,2012,71.5,74.4,1.1,82.5
CAR,Senior High,Female,2012,0.0,0.0,0.0,81.5
CAR,Senior High,Male,2012,0.0,0.0,0.0,82.5
Region I,Elementary,Female,2012,88.0,88.9,0.9,82.4
Region I,Elementary,Male,2012,82.7,84.2,0.9,82.2
Region I,Junior High,Female,2012,85.7,88.0,1.0,82.4
Region I,Junior High,Male,2012,75.2,78.7,1.0,82.2
Region I,Senior High,Female,2012,0.0,0.0,0.0,82.4
Region I,Senior High,Male,2012,0.0,0.0,0.0,82.2
Region II,Elementary,Female,2012,86.3,87.0,0.9,87.0
Region II,Elementary,Male,2012,78.2,79.6,0.9,87.2
Region II,Junior High,Female,2012,82.6,85.3,1.0,87.0
Region II,Junior High,Male,2012,72.7,76.4,1.0,87.2
Region II,Senior High,Female,2012,0.0,0.0,0.0,87.0
Region II,Senior High,Male,2012,0.0,0.0,0.0,87.2
Region III,Elementary,Female,2012,86.2,87.2,0.9,75.6
Region III,Elementary,Male,2012,79.4,80.9,0.9,74.4
Region III,Junior High,Female,2012,81.1,84.2,1.0,75.6
Region III,Junior High,Male,2012,71.1,74.7,1.0,74.4
Region III,Senior High,Female,2012,0.0,0.0,0.0,75.6
Region III,Senior High,Male,2012,0.0,0.0,0.0,74.4
Region IV-A,Elementary,Female,2012,89.7,91.0,0.9,71.7
Region IV-A,Elementary,Male,2012,80.5,82.5,0.9,69.6
Region IV-A,Junior High,Female,2012,87.3,89.8,1.0,71.7
Region IV-A,Junior High,Male,2012,77.5,80.6,1.0,69.6
Region IV-A,Senior High,Female,2012,0.0,0.0,0.0,71.7
Region IV-A,Senior High,Male,2012,0.0,0.0,0.0,69.6
Region IV-B,Elementary,Female,2012,79.8,81.1,0.9,85.0
Region IV-B,Elementary,Male,2012,69.2,71.4,0.9,85.0
Region IV-B,Junior High,Female,2012,82.1,84.2,1.0,85.0
Region IV-B,Junior High,Male,2012,71.2,74.0,1.0,85.0
Region IV-B,Senior High,Female,2012,0.0,0.0,0.0,85.0
Region IV-B,Senior High,Male,2012,0.0,0.0,0.0,85.0
Region V,Elementary,Female,2012,81.9,82.9,0.9,83.5
Region V,Elementary,Male,2012,72.4,74.4,0.9,82.9
Region V,Junior High,Female,2012,78.9,81.9,1.0,83.5
Region V,Junior High,Male,2012,65.0,69.2,1.0,82.9
Region V,Senior High,Female,2012,0.0,0.0,0.0,83.5
Region V,Senior High,Male,2012,0.0,0.0,0.0,82.9
Region VI,Elementary,Female,2012,84.5,85.8,0.9,86.1
Region VI,Elementary,Male,2012,73.4,76.0,0.9,85.4
Region VI,Junior High,Female,2012,81.5,84.6,1.0,86.1
Region VI,Junior High,Male,2012,70.2,74.4,1.0,85.4
Region VI,Senior High,Female,2012,0.0,0.0,0.0,86.1
Region VI,Senior High,Male,2012,0.0,0.0,0.0,85.4
Region VII,Elementary,Female,2012,87.5,88.9,0.9,86.4
Region VII,Elementary,Male,2012,75.0,78.0,0.9,86.2
Region VII,Junior High,Female,2012,80.8,83.9,1.0,86.4
Region VII,Junior High,Male,2012,68.1,72.0,1.0,86.2
Region VII,Senior High,Female,2012,0.0,0.0,0.0,86.4
Region VII,Senior High,Male,2012,0.0,0.0,0.0,86.2
Region VIII,Elementary,Female,2012,79.3,80.4,0.9,83.4
Region VIII,Elementary,Male,2012,69.5,71.1,0.9,83.2
Region VIII,Junior High,Female,2012,75.7,78.5,1.0,83.4
Region VIII,Junior High,Male,2012,65.6,69.3,1.0,83.2
Region VIII,Senior High,Female,2012,0.0,0.0,0.0,83.4
Region VIII,Senior High,Male,2012,0.0,0.0,0.0,83.2
Region IX,Elementary,Female,2012,61.3,62.3,0.9,84.4
Region IX,Elementary,Male,2012,50.5,52.1,0.9,84.5
Region IX,Junior High,Female,2012,69.5,72.8,1.1,84.4
Region IX,Junior High,Male,2012,59.4,63.5,1.1,84.5
Region IX,Senior High,Female,2012,0.0,0.0,0.0,84.4
Region IX,Senior High,Male,2012,0.0,0.0,0.0,84.5
Region X,Elementary,Female,2012,68.5,69.9,0.9,85.9
Region X,Elementary,Male,2012,58.7,60.4,0.9,85.0
Region X,Junior High,Female,2012,77.9,82.0,1.1,85.9
Region X,Junior High,Male,2012,66.6,71.0,1.1,85.0
Region X,Senior High,Female,2012,0.0,0.0,0.0,85.9
Region X,Senior High,Male,2012,0.0,0.0,0.0,85.0
Region XI,Elementary,Female,2012,71.2,72.5,0.9,78.9
Region XI,Elementary,Male,2012,58.8,60.7,0.9,78.2
Region XI,Junior High,Female,2012,77.0,81.0,1.1,78.9
Region XI,Junior High,Male,2012,67.2,71.9,1.1,78.2
Region XI,Senior High,Female,2012,0.0,0.0,0.0,78.9
Region XI,Senior High,Male,2012,0.0,0.0,0.0,78.2
Region XII,Elementary,Female,2012,71.5,72.7,0.9,81.0
Region XII,Elementary,Male,2012,61.1,62.8,0.9,79.9
Region XII,Junior High,Female,2012,75.8,79.0,1.1,81.0
Region XII,Junior High,Male,2012,67.6,71.2,1.1,79.9
Region XII,Senior High,Female,2012,0.0,0.0,0.0,81.0
Region XII,Senior High,Male,2012,0.0,0.0,0.0,79.9
Region XIII,Elementary,Female,2012,79.9,80.2,0.9,81.5
Region XIII,Elementary,Male,2012,66.0,67.1,0.9,82.4
Region XIII,Junior High,Female,2012,74.4,76.5,1.0,81.5
Region XIII,Junior High,Male,2012,65.3,67.6,1.0,82.4
Region XIII,Senior High,Female,2012,0.0,0.0,0.0,81.5
Region XIII,Senior High,Male,2012,0.0,0.0,0.0,82.4
BARMM,Elementary,Female,2012,28.6,29.6,1.1,86.1
BARMM,Elementary,Male,2012,24.5,25.3,1.1,75.6
BARMM,Junior High,Female,2012,54.1,55.7,1.3,86.1
BARMM,Junior High,Male,2012,50.6,52.3,1.3,75.6
BARMM,Senior High,Female,2012,0.0,0.0,0.0,86.1
BARMM,Senior High,Male,2012,0.0,0.0,0.0,75.6
NCR,Elementary,Female,2013,81.3,83.0,0.9,65.0
NCR,Elementary,Female,2013,81.3,83.0,0.9,65.0
NCR,Elementary,Female,2013,81.3,83.0,0.9,65.0
NCR,Elementary,Female,2013,81.3,83.0,0.9,65.0
NCR,Elementary,Female,2013,81.3,83.0,0.9,65.0
NCR,Elementary,Female,2013,81.3,83.0,0.9,65.0
NCR,Elementary,Female,2013,81.3,83.0,0.9,65.0
NCR,Elementary,Female,2013,81.3,83.0,0.9,65.0
NCR,Elementary,Male,2013,76.4,78.8,0.9,63.3
NCR,Elementary,Male,2013,76.4,78.8,0.9,63.3
NCR,Elementary,Male,2013,76.4,78.8,0.9,63.3
NCR,Elementary,Male,2013,76.4,78.8,0.9,63.3
NCR,Elementary,Male,2013,76.4,78.8,0.9,63.3
NCR,Elementary,Male,2013,76.4,78.8,0.9,63.3
NCR,Elementary,Male,2013,76.4,78.8,0.9,63.3
NCR,Elementary,Male,2013,76.4,78.8,0.9,63.3
NCR,Junior High,Female,2013,80.4,83.9,1.0,65.0
NCR,Junior High,Female,2013,80.4,83.9,1.0,65.0
NCR,Junior High,Female,2013,80.4,83.9,1.0,65.0
NCR,Junior High,Female,2013,80.4,83.9,1.0,65.0
NCR,Junior High,Female,2013,80.4,83.9,1.0,65.0
NCR,Junior High,Female,2013,80.4,83.9,1.0,65.0
NCR,Junior High,Female,2013,80.4,83.9,1.0,65.0
NCR,Junior High,Female,2013,80.4,83.9,1.0,65.0
NCR,Junior High,Male,2013,72.4,76.6,1.0,63.3
NCR,Junior High,Male,2013,72.4,76.6,1.0,63.3
NCR,Junior High,Male,2013,72.4,76.6,1.0,63.3
NCR,Junior High,Male,2013,72.4,76.6,1.0,63.3
NCR,Junior High,Male,2013,72.4,76.6,1.0,63.3
NCR,Junior High,Male,2013,72.4,76.6,1.0,63.3
NCR,Junior High,Male,2013,72.4,76.6,1.0,63.3
NCR,Junior High,Male,2013,72.4,76.6,1.0,63.3
NCR,Senior High,Female,2013,0.0,0.0,0.0,65.0
NCR,Senior High,Female,2013,0.0,0.0,0.0,65.0
NCR,Senior High,Female,2013,0.0,0.0,0.0,65.0
NCR,Senior High,Female,2013,0.0,0.0,0.0,65.0
NCR,Senior High,Female,2013,0.0,0.0,0.0,65.0
NCR,Senior High,Female,2013,0.0,0.0,0.0,65.0
NCR,Senior High,Female,2013,0.0,0.0,0.0,65.0
NCR,Senior High,Female,2013,0.0,0.0,0.0,65.0
NCR,Senior High,Male,2013,0.0,0.0,0.0,63.3
NCR,Senior High,Male,2013,0.0,0.0,0.0,63.3
NCR,Senior High,Male,2013,0.0,0.0,0.0,63.3
NCR,Senior High,Male,2013,0.0,0.0,0.0,63.3
NCR,Senior High,Male,2013,0.0,0.0,0.0,63.3
NCR,Senior High,Male,2013,0.0,0.0,0.0,63.3
NCR,Senior High,Male,2013,0.0,0.0,0.0,63.3
NCR,Senior High,Male,2013,0.0,0.0,0.0,63.3
CAR,Elementary,Female,2013,85.5,85.8,0.9,83.3
CAR,Elementary,Female,2013,85.5,85.8,0.9,83.3
CAR,Elementary,Female,2013,85.5,85.8,0.9,83.3
CAR,Elementary,Female,2013,85.5,85.8,0.9,83.3
CAR,Elementary,Female,2013,85.5,85.8,0.9,83.3
CAR,Elementary,Female,2013,85.5,85.8,0.9,83.3
CAR,Elementary,Female,2013,85.5,85.8,0.9,83.3
CAR,Elementary,Female,2013,85.5,85.8,0.9,83.3
CAR,Elementary,Male,2013,80.0,81.4,0.9,84.2
CAR,Elementary,Male,2013,80.0,81.4,0.9,84.2
CAR,Elementary,Male,2013,80.0,81.4,0.9,84.2
CAR,Elementary,Male,2013,80.0,81.4,0.9,84.2
CAR,Elementary,Male,2013,80.0,81.4,0.9,84.2
CAR,Elementary,Male,2013,80.0,81.4,0.9,84.2
CAR,Elementary,Male,2013,80.0,81.4,0.9,84.2
CAR,Elementary,Male,2013,80.0,81.4,0.9,84.2
CAR,Junior High,Female,2013,82.9,85.1,1.0,83.3
CAR,Junior High,Female,2013,82.9,85.1,1.0,83.3
CAR,Junior High,Female,2013,82.9,85.1,1.0,83.3
CAR,Junior High,Female,2013,82.9,85.1,1.0,83.3
CAR,Junior High,Female,2013,82.9,85.1,1.0,83.3
CAR,Junior High,Female,2013,82.9,85.1,1.0,83.3
CAR,Junior High,Female,2013,82.9,85.1,1.0,83.3
CAR,Junior High,Female,2013,82.9,85.1,1.0,83.3
CAR,Junior High,Male,2013,70.0,73.1,1.0,84.2
CAR,Junior High,Male,2013,70.0,73.1,1.0,84.2
CAR,Junior High,Male,2013,70.0,73.1,1.0,84.2
CAR,Junior High,Male,2013,70.0,73.1,1.0,84.2
CAR,Junior High,Male,2013,70.0,73.1,1.0,84.2
CAR,Junior High,Male,2013,70.0,73.1,1.0,84.2
CAR,Junior High,Male,2013,70.0,73.1,1.0,84.2
CAR,Junior High,Male,2013,70.0,73.1,1.0,84.2
CAR,Senior High,Female,2013,0.0,0.0,0.0,83.3
CAR,Senior High,Female,2013,0.0,0.0,0.0,83.3
CAR,Senior High,Female,2013,0.0,0.0,0.0,83.3
CAR,Senior High,Female,2013,0.0,0.0,0.0,83.3
CAR,Senior High,Female,2013,0.0,0.0,0.0,83.3
CAR,Senior High,Female,2013,0.0,0.0,0.0,83.3
CAR,Senior High,Female,2013,0.0,0.0,0.0,83.3
CAR,Senior High,Female,2013,0.0,0.0,0.0,83.3
CAR,Senior High,Male,2013,0.0,0.0,0.0,84.2
CAR,Senior High,Male,2013,0.0,0.0,0.0,84.2
CAR,Senior High,Male,2013,0.0,0.0,0.0,84.2
CAR,Senior High,Male,2013,0.0,0.0,0.0,84.2
CAR,Senior High,Male,2013,0.0,0.0,0.0,84.2
CAR,Senior High,Male,2013,0.0,0.0,0.0,84.2
CAR,Senior High,Male,2013,0.0,0.0,0.0,84.2
CAR,Senior High,Male,2013,0.0,0.0,0.0,84.2
Region I,Elementary,Female,2013,93.4,93.6,0.9,78.3
Region I,Elementary,Female,2013,93.4,93.6,0.9,78.3
Region I,Elementary,Female,2013,93.4,93.6,0.9,78.3
Region I,Elementary,Female,2013,93.4,93.6,0.9,78.3
Region I,Elementary,Female,2013,93.4,93.6,0.9,78.3
Region I,Elementary,Female,2013,93.4,93.6,0.9,78.3
Region I,Elementary,Female,2013,93.4,93.6,0.9,78.3
Region I,Elementary,Female,2013,93.4,93.6,0.9,78.3
Region I,Elementary,Male,2013,89.1,89.7,0.9,78.9
Region I,Elementary,Male,2013,89.1,89.7,0.9,78.9
Region I,Elementary,Male,2013,89.1,89.7,0.9,78.9
Region I,Elementary,Male,2013,89.1,89.7,0.9,78.9
Region I,Elementary,Male,2013,89.1,89.7,0.9,78.9
Region I,Elementary,Male,2013,89.1,89.7,0.9,78.9
Region I,Elementary,Male,2013,89.1,89.7,0.9,78.9
Region I,Elementary,Male,2013,89.1,89.7,0.9,78.9
Region I,Junior High,Female,2013,87.7,89.8,1.0,78.3
Region I,Junior High,Female,2013,87.7,89.8,1.0,78.3
Region I,Junior High,Female,2013,87.7,89.8,1.0,78.3
Region I,Junior High,Female,2013,87.7,89.8,1.0,78.3
Region I,Junior High,Female,2013,87.7,89.8,1.0,78.3
Region I,Junior High,Female,2013,87.7,89.8,1.0,78.3
Region I,Junior High,Female,2013,87.7,89.8,1.0,78.3
Region I,Junior High,Female,2013,87.7,89.8,1.0,78.3
Region I,Junior High,Male,2013,77.6,81.0,1.0,78.9
Region I,Junior High,Male,2013,77.6,81.0,1.0,78.9
Region I,Junior High,Male,2013,77.6,81.0,1.0,78.9
Region I,Junior High,Male,2013,77.6,81.0,1.0,78.9
Region I,Junior High,Male,2013,77.6,81.0,1.0,78.9
Region I,Junior High,Male,2013,77.6,81.0,1.0,78.9
Region I,Junior High,Male,2013,77.6,81.0,1.0,78.9
Region I,Junior High,Male,2013,77.6,81.0,1.0,78.9
Region I,Senior High,Female,2013,0.0,0.0,0.0,78.3
Region I,Senior High,Female,2013,0.0,0.0,0.0,78.3
Region I,Senior High,Female,2013,0.0,0.0,0.0,78.3
Region I,Senior High,Female,2013,0.0,0.0,0.0,78.3
Region I,Senior High,Female,2013,0.0,0.0,0.0,78.3
Region I,Senior High,Female,2013,0.0,0.0,0.0,78.3
Region I,Senior High,Female,2013,0.0,0.0,0.0,78.3
Region I,Senior High,Female,2013,0.0,0.0,0.0,78.3
Region I,Senior High,Male,2013,0.0,0.0,0.0,78.9
Region I,Senior High,Male,2013,0.0,0.0,0.0,78.9
Region I,Senior High,Male,2013,0.0,0.0,0.0,78.9
Region I,Senior High,Male,2013,0.0,0.0,0.0,78.9
Region I,Senior High,Male,2013,0.0,0.0,0.0,78.9
Region I,Senior High,Male,2013,0.0,0.0,0.0,78.9
Region I,Senior High,Male,2013,0.0,0.0,0.0,78.9
Region I,Senior High,Male,2013,0.0,0.0,0.0,78.9
Region II,Elementary,Female,2013,91.3,92.5,0.9,85.5
Region II,Elementary,Female,2013,91.3,92.5,0.9,85.5
Region II,Elementary,Female,2013,91.3,92.5,0.9,85.5
Region II,Elementary,Female,2013,91.3,92.5,0.9,85.5
Region II,Elementary,Female,2013,91.3,92.5,0.9,85.5
Region II,Elementary,Female,2013,91.3,92.5,0.9,85.5
Region II,Elementary,Female,2013,91.3,92.5,0.9,85.5
Region II,Elementary,Female,2013,91.3,92.5,0.9,85.5
Region II,Elementary,Male,2013,84.8,86.3,0.9,86.9
Region II,Elementary,Male,2013,84.8,86.3,0.9,86.9
Region II,Elementary,Male,2013,84.8,86.3,0.9,86.9
Region II,Elementary,Male,2013,84.8,86.3,0.9,86.9
Region II,Elementary,Male,2013,84.8,86.3,0.9,86.9
Region II,Elementary,Male,2013,84.8,86.3,0.9,86.9
Region II,Elementary,Male,2013,84.8,86.3,0.9,86.9
Region II,Elementary,Male,2013,84.8,86.3,0.9,86.9
Region II,Junior High,Female,2013,85.7,87.6,1.0,85.5
Region II,Junior High,Female,2013,85.7,87.6,1.0,85.5
Region II,Junior High,Female,2013,85.7,87.6,1.0,85.5
Region II,Junior High,Female,2013,85.7,87.6,1.0,85.5
Region II,Junior High,Female,2013,85.7,87.6,1.0,85.5
Region II,Junior High,Female,2013,85.7,87.6,1.0,85.5
Region II,Junior High,Female,2013,85.7,87.6,1.0,85.5
Region II,Junior High,Female,2013,85.7,87.6,1.0,85.5
Region II,Junior High,Male,2013,78.4,80.8,1.0,86.9
Region II,Junior High,Male,2013,78.4,80.8,1.0,86.9
Region II,Junior High,Male,2013,78.4,80.8,1.0,86.9
Region II,Junior High,Male,2013,78.4,80.8,1.0,86.9
Region II,Junior High,Male,2013,78.4,80.8,1.0,86.9
Region II,Junior High,Male,2013,78.4,80.8,1.0,86.9
Region II,Junior High,Male,2013,78.4,80.8,1.0,86.9
Region II,Junior High,Male,2013,78.4,80.8,1.0,86.9
Region II,Senior High,Female,2013,0.0,0.0,0.0,85.5
Region II,Senior High,Female,2013,0.0,0.0,0.0,85.5
Region II,Senior High,Female,2013,0.0,0.0,0.0,85.5
Region II,Senior High,Female,2013,0.0,0.0,0.0,85.5
Region II,Senior High,Female,2013,0.0,0.0,0.0,85.5
Region II,Senior High,Female,2013,0.0,0.0,0.0,85.5
Region II,Senior High,Female,2013,0.0,0.0,0.0,85.5
Region II,Senior High,Female,2013,0.0,0.0,0.0,85.5
Region II,Senior High,Male,2013,0.0,0.0,0.0,86.9
Region II,Senior High,Male,2013,0.0,0.0,0.0,86.9
Region II,Senior High,Male,2013,0.0,0.0,0.0,86.9
Region II,Senior High,Male,2013,0.0,0.0,0.0,86.9
Region II,Senior High,Male,2013,0.0,0.0,0.0,86.9
Region II,Senior High,Male,2013,0.0,0.0,0.0,86.9
Region II,Senior High,Male,2013,0.0,0.0,0.0,86.9
Region II,Senior High,Male,2013,0.0,0.0,0.0,86.9
Region III,Elementary,Female,2013,93.4,93.9,0.9,77.9
Region III,Elementary,Female,2013,93.4,93.9,0.9,77.9
Region III,Elementary,Female,2013,93.4,93.9,0.9,77.9
Region III,Elementary,Female,2013,93.4,93.9,0.9,77.9
Region III,Elementary,Female,2013,93.4,93.9,0.9,77.9
Region III,Elementary,Female,2013,93.4,93.9,0.9,77.9
Region III,Elementary,Female,2013,93.4,93.9,0.9,77.9
Region III,Elementary,Female,2013,93.4,93.9,0.9,77.9
Region III,Elementary,Male,2013,88.4,89.8,0.9,77.5
Region III,Elementary,Male,2013,88.4,89.8,0.9,77.5
Region III,Elementary,Male,2013,88.4,89.8,0.9,77.5
Region III,Elementary,Male,2013,88.4,89.8,0.9,77.5
Region III,Elementary,Male,2013,88.4,89.8,0.9,77.5
Region III,Elementary,Male,2013,88.4,89.8,0.9,77.5
Region III,Elementary,Male,2013,88.4,89.8,0.9,77.5
Region III,Elementary,Male,2013,88.4,89.8,0.9,77.5
Region III,Junior High,Female,2013,87.0,89.2,1.0,77.9
Region III,Junior High,Female,2013,87.0,89.2,1.0,77.9
Region III,Junior High,Female,2013,87.0,89.2,1.0,77.9
Region III,Junior High,Female,2013,87.0,89.2,1.0,77.9
Region III,Junior High,Female,2013,87.0,89.2,1.0,77.9
Region III,Junior High,Female,2013,87.0,89.2,1.0,77.9
Region III,Junior High,Female,2013,87.0,89.2,1.0,77.9
Region III,Junior High,Female,2013,87.0,89.2,1.0,77.9
Region III,Junior High,Male,2013,79.1,81.7,1.0,77.5
Region III,Junior High,Male,2013,79.1,81.7,1.0,77.5
Region III,Junior High,Male,2013,79.1,81.7,1.0,77.5
Region III,Junior High,Male,2013,79.1,81.7,1.0,77.5
Region III,Junior High,Male,2013,79.1,81.7,1.0,77.5
Region III,Junior High,Male,2013,79.1,81.7,1.0,77.5
Region III,Junior High,Male,2013,79.1,81.7,1.0,77.5
Region III,Junior High,Male,2013,79.1,81.7,1.0,77.5
Region III,Senior High,Female,2013,0.0,0.0,0.0,77.9
Region III,Senior High,Female,2013,0.0,0.0,0.0,77.9
Region III,Senior High,Female,2013,0.0,0.0,0.0,77.9
Region III,Senior High,Female,2013,0.0,0.0,0.0,77.9
Region III,Senior High,Female,2013,0.0,0.0,0.0,77.9
Region III,Senior High,Female,2013,0.0,0.0,0.0,77.9
Region III,Senior High,Female,2013,0.0,0.0,0.0,77.9
Region III,Senior High,Female,2013,0.0,0.0,0.0,77.9
Region III,Senior High,Male,2013,0.0,0.0,0.0,77.5
Region III,Senior High,Male,2013,0.0,0.0,0.0,77.5
Region III,Senior High,Male,2013,0.0,0.0,0.0,77.5
Region III,Senior High,Male,2013,0.0,0.0,0.0,77.5
Region III,Senior High,Male,2013,0.0,0.0,0.0,77.5
Region III,Senior High,Male,2013,0.0,0.0,0.0,77.5
Region III,Senior High,Male,2013,0.0,0.0,0.0,77.5
Region III,Senior High,Male,2013,0.0,0.0,0.0,77.5
Region IV-A,Elementary,Female,2013,76.3,77.4,0.9,72.5
Region IV-A,Elementary,Female,2013,76.3,77.4,0.9,72.5
Region IV-A,Elementary,Female,2013,76.3,77.4,0.9,72.5
Region IV-A,Elementary,Female,2013,76.3,77.4,0.9,72.5
Region IV-A,Elementary,Female,2013,76.3,77.4,0.9,72.5
Region IV-A,Elementary,Female,2013,76.3,77.4,0.9,72.5
Region IV-A,Elementary,Female,2013,76.3,77.4,0.9,72.5
