Geolocation,Level of Education,Sex,Year,Completion_Rate,Cohort_Survival_Rate,Gender_Parity_Index,Participation_Rate
BARMM,Junior High,Female,2002,71.5,76.7,1.3,0.0
BARMM,Junior High,Male,2002,49.7,54.0,1.3,0.0
BARMM,Senior High,Female,2002,0.0,0.0,0.0,0.0
BARMM,Senior High,Male,2002,0.0,0.0,0.0,0.0
NCR,Elementary,Female,2003,87.3,87.5,0.9,0.0
NCR,Elementary,Male,2003,80.6,81.2,0.9,0.0
NCR,Junior High,Female,2003,78.9,84.3,1.0,0.0
NCR,Junior High,Male,2003,67.7,75.5,1.0,0.0
NCR,Senior High,Female,2003,0.0,0.0,0.0,0.0
NCR,Senior High,Male,2003,0.0,0.0,0.0,0.0
CAR,Elementary,Female,2003,79.1,79.9,0.9,0.0
CAR,Elementary,Male,2003,69.2,70.6,0.9,0.0
CAR,Junior High,Female,2003,78.4,82.9,1.1,0.0
CAR,Junior High,Male,2003,68.5,74.3,1.1,0.0
CAR,Senior High,Female,2003,0.0,0.0,0.0,0.0
CAR,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region I,Elementary,Female,2003,87.6,88.6,0.9,0.0
Region I,Elementary,Male,2003,81.6,82.9,0.9,0.0
Region I,Junior High,Female,2003,81.8,87.3,1.0,0.0
Region I,Junior High,Male,2003,69.5,76.4,1.0,0.0
Region I,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region I,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region II,Elementary,Female,2003,84.8,85.4,0.9,0.0
Region II,Elementary,Male,2003,73.2,74.3,0.9,0.0
Region II,Junior High,Female,2003,81.2,84.9,1.1,0.0
Region II,Junior High,Male,2003,71.9,76.5,1.1,0.0
Region II,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region II,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region III,Elementary,Female,2003,88.6,89.5,0.9,0.0
Region III,Elementary,Male,2003,78.5,79.7,0.9,0.0
Region III,Junior High,Female,2003,77.0,83.4,1.0,0.0
Region III,Junior High,Male,2003,65.6,73.0,1.0,0.0
Region III,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region III,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region IV-A,Elementary,Female,2003,81.5,82.0,0.9,0.0
Region IV-A,Elementary,Male,2003,72.1,72.9,0.9,0.0
Region IV-A,Junior High,Female,2003,84.2,89.2,1.0,0.0
Region IV-A,Junior High,Male,2003,71.7,78.1,1.0,0.0
Region IV-A,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region IV-A,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region IV-B,Elementary,Female,2003,76.2,78.1,0.9,0.0
Region IV-B,Elementary,Male,2003,65.3,67.8,0.9,0.0
Region IV-B,Junior High,Female,2003,76.1,81.3,1.1,0.0
Region IV-B,Junior High,Male,2003,68.2,74.6,1.1,0.0
Region IV-B,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region IV-B,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region V,Elementary,Female,2003,77.9,79.5,0.9,0.0
Region V,Elementary,Male,2003,66.2,68.6,0.9,0.0
Region V,Junior High,Female,2003,75.4,79.9,1.1,0.0
Region V,Junior High,Male,2003,64.0,69.4,1.1,0.0
Region V,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region V,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region VI,Elementary,Female,2003,75.1,76.8,0.9,0.0
Region VI,Elementary,Male,2003,62.0,64.8,0.9,0.0
Region VI,Junior High,Female,2003,82.1,87.0,1.1,0.0
Region VI,Junior High,Male,2003,68.6,75.1,1.1,0.0
Region VI,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region VI,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region VII,Elementary,Female,2003,78.4,80.6,0.9,0.0
Region VII,Elementary,Male,2003,64.3,68.2,0.9,0.0
Region VII,Junior High,Female,2003,77.0,81.9,1.1,0.0
Region VII,Junior High,Male,2003,61.9,68.2,1.1,0.0
Region VII,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region VII,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region VIII,Elementary,Female,2003,76.5,78.3,1.0,0.0
Region VIII,Elementary,Male,2003,60.9,63.6,1.0,0.0
Region VIII,Junior High,Female,2003,73.5,78.7,1.1,0.0
Region VIII,Junior High,Male,2003,64.0,70.6,1.1,0.0
Region VIII,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region VIII,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region IX,Elementary,Female,2003,63.2,64.4,0.9,0.0
Region IX,Elementary,Male,2003,50.6,51.9,0.9,0.0
Region IX,Junior High,Female,2003,68.6,71.8,1.1,0.0
Region IX,Junior High,Male,2003,55.5,60.9,1.1,0.0
Region IX,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region IX,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region X,Elementary,Female,2003,73.2,74.5,0.9,0.0
Region X,Elementary,Male,2003,59.8,61.2,0.9,0.0
Region X,Junior High,Female,2003,67.2,73.3,1.1,0.0
Region X,Junior High,Male,2003,58.0,65.3,1.1,0.0
Region X,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region X,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region XI,Elementary,Female,2003,71.8,72.5,0.9,0.0
Region XI,Elementary,Male,2003,58.5,59.5,0.9,0.0
Region XI,Junior High,Female,2003,66.7,73.8,1.1,0.0
Region XI,Junior High,Male,2003,55.9,63.1,1.1,0.0
Region XI,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region XI,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region XII,Elementary,Female,2003,69.7,72.1,1.0,0.0
Region XII,Elementary,Male,2003,57.7,60.9,1.0,0.0
Region XII,Junior High,Female,2003,71.6,77.6,1.1,0.0
Region XII,Junior High,Male,2003,60.7,68.0,1.1,0.0
Region XII,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region XII,Senior High,Male,2003,0.0,0.0,0.0,0.0
Region XIII,Elementary,Female,2003,73.6,75.6,0.9,0.0
Region XIII,Elementary,Male,2003,61.2,62.7,0.9,0.0
Region XIII,Junior High,Female,2003,68.5,72.4,1.1,0.0
Region XIII,Junior High,Male,2003,59.3,65.1,1.1,0.0
Region XIII,Senior High,Female,2003,0.0,0.0,0.0,0.0
Region XIII,Senior High,Male,2003,0.0,0.0,0.0,0.0
BARMM,Elementary,Female,2003,29.2,32.5,1.1,0.0
BARMM,Elementary,Male,2003,26.6,29.4,1.1,0.0
BARMM,Junior High,Female,2003,56.7,63.5,1.2,0.0
BARMM,Junior High,Male,2003,69.5,79.2,1.2,0.0
BARMM,Senior High,Female,2003,0.0,0.0,0.0,0.0
BARMM,Senior High,Male,2003,0.0,0.0,0.0,0.0
NCR,Elementary,Female,2004,85.5,86.4,0.9,0.0
NCR,Elementary,Male,2004,79.0,80.2,0.9,0.0
NCR,Junior High,Female,2004,83.3,88.6,1.0,0.0
NCR,Junior High,Male,2004,71.5,78.0,1.0,0.0
NCR,Senior High,Female,2004,0.0,0.0,0.0,0.0
NCR,Senior High,Male,2004,0.0,0.0,0.0,0.0
CAR,Elementary,Female,2004,77.4,79.1,0.9,0.0
CAR,Elementary,Male,2004,62.7,64.8,0.9,0.0
CAR,Junior High,Female,2004,80.8,86.1,1.1,0.0
CAR,Junior High,Male,2004,64.3,70.8,1.1,0.0
CAR,Senior High,Female,2004,0.0,0.0,0.0,0.0
CAR,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region I,Elementary,Female,2004,89.4,90.7,0.9,0.0
Region I,Elementary,Male,2004,82.0,83.3,0.9,0.0
Region I,Junior High,Female,2004,84.6,88.5,1.0,0.0
Region I,Junior High,Male,2004,71.2,77.3,1.0,0.0
Region I,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region I,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region II,Elementary,Female,2004,82.1,83.3,0.9,0.0
Region II,Elementary,Male,2004,69.8,70.9,0.9,0.0
Region II,Junior High,Female,2004,78.2,82.1,1.1,0.0
Region II,Junior High,Male,2004,67.7,72.9,1.1,0.0
Region II,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region II,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region III,Elementary,Female,2004,82.8,84.8,0.9,0.0
Region III,Elementary,Male,2004,74.6,76.6,0.9,0.0
Region III,Junior High,Female,2004,82.4,86.7,1.0,0.0
Region III,Junior High,Male,2004,70.8,76.4,1.0,0.0
Region III,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region III,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region IV-A,Elementary,Female,2004,83.1,85.6,0.9,0.0
Region IV-A,Elementary,Male,2004,73.4,75.8,0.9,0.0
Region IV-A,Junior High,Female,2004,80.7,85.2,1.0,0.0
Region IV-A,Junior High,Male,2004,69.3,75.8,1.0,0.0
Region IV-A,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region IV-A,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region IV-B,Elementary,Female,2004,75.8,77.7,0.9,0.0
Region IV-B,Elementary,Male,2004,62.7,65.5,0.9,0.0
Region IV-B,Junior High,Female,2004,76.3,81.4,1.1,0.0
Region IV-B,Junior High,Male,2004,65.9,71.9,1.1,0.0
Region IV-B,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region IV-B,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region V,Elementary,Female,2004,80.8,82.6,0.9,0.0
Region V,Elementary,Male,2004,68.6,71.4,0.9,0.0
Region V,Junior High,Female,2004,75.6,81.2,1.1,0.0
Region V,Junior High,Male,2004,65.3,71.4,1.1,0.0
Region V,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region V,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region VI,Elementary,Female,2004,76.0,78.3,0.9,0.0
Region VI,Elementary,Male,2004,60.2,63.7,0.9,0.0
Region VI,Junior High,Female,2004,80.0,84.7,1.1,0.0
Region VI,Junior High,Male,2004,65.6,72.3,1.1,0.0
Region VI,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region VI,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region VII,Elementary,Female,2004,80.2,83.2,0.9,0.0
Region VII,Elementary,Male,2004,63.0,67.5,0.9,0.0
Region VII,Junior High,Female,2004,75.8,80.1,1.1,0.0
Region VII,Junior High,Male,2004,65.2,71.1,1.1,0.0
Region VII,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region VII,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region VIII,Elementary,Female,2004,77.8,79.6,1.0,0.0
Region VIII,Elementary,Male,2004,61.3,63.9,1.0,0.0
Region VIII,Junior High,Female,2004,76.3,80.7,1.1,0.0
Region VIII,Junior High,Male,2004,66.8,72.9,1.1,0.0
Region VIII,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region VIII,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region IX,Elementary,Female,2004,62.3,64.1,1.0,0.0
Region IX,Elementary,Male,2004,47.1,49.1,1.0,0.0
Region IX,Junior High,Female,2004,71.6,78.6,1.1,0.0
Region IX,Junior High,Male,2004,60.6,69.2,1.1,0.0
Region IX,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region IX,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region X,Elementary,Female,2004,65.3,66.5,0.9,0.0
Region X,Elementary,Male,2004,51.8,53.4,0.9,0.0
Region X,Junior High,Female,2004,67.1,72.2,1.1,0.0
Region X,Junior High,Male,2004,55.2,61.0,1.1,0.0
Region X,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region X,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region XI,Elementary,Female,2004,71.1,72.6,1.0,0.0
Region XI,Elementary,Male,2004,55.1,57.0,1.0,0.0
Region XI,Junior High,Female,2004,73.4,79.8,1.1,0.0
Region XI,Junior High,Male,2004,64.0,71.6,1.1,0.0
Region XI,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region XI,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region XII,Elementary,Female,2004,68.1,70.8,1.0,0.0
Region XII,Elementary,Male,2004,54.0,57.7,1.0,0.0
